Cinsiyet,YaşGrubu,Mevcutdurum,KiminleYaşıyorsunuz,GelirDüzeyiAlgınız,GünlükAkıllıTelefonKullanımSüreniz,TelefonuTemelKullanımAmacınız,TelefonuGeceUyandığınızdaKontrolEtmeSıklığınız,PsikolojikDestekAlınmaDurumu,KronikBirRahatsızlığınızVarmı,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,Telefonunuzugüniçindeençokhangiamaçlakullanıyorsunuz,MaviIşıkKullanımı,Akıllıtelefonbildirimlerinizgeceuyurkenaçıkmıduruyor,Güniçindeteknolojikcihazlardantelefonbilgisayarvb.tamamenuzakk,a1,a2,a3,a4,a5,a6,akilliTelefonOlcek,uykuKalitesiOlcek
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,0-2 Saat,Vakit Geçirme,Hiçbir Zaman,Hayır,Hayır,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,Sadece önemli kişiler için açık,Nadiren,1.0,1.0,3.0,3.0,2.0,2.0,37.0,12.0
Erkek,46-66,Emekli,Çekirdek Aile,Düşük,6+ Saat,İş/Eğitim,Nadiren,Evet,Evet,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,İş veya eğitimle ilgili yazışmalar,Hayır,Sadece önemli kişiler için açık,Nadiren,2.0,2.0,3.0,3.0,1.0,1.0,49.0,12.0
Erkek,18-25,Öğrenci,Yalnız,Orta,4-6 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,Haber okuma ve bilgi edinme,Hayır,Sadece önemli kişiler için açık,"Evet, düzenli olarak",1.0,2.0,1.0,1.0,3.0,3.0,33.0,11.0
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,6+ Saat,Haberleşme,Hiçbir Zaman,Hayır,Hayır,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,İş veya eğitimle ilgili yazışmalar,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",1.0,1.0,3.0,2.0,2.0,1.0,54.0,10.0
Erkek,26-45,Çalışan,Çekirdek Aile,Düşük,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,3.0,2.0,2.0,3.0,3.0,3.0,56.0,16.0
Erkek,18-25,Öğrenci,Yalnız,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,Haber okuma ve bilgi edinme,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",3.0,2.0,3.0,1.0,1.0,1.0,44.0,11.0
Erkek,18-25,Öğrenci,Yalnız,Düşük,6+ Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,2.0,3.0,1.0,1.0,2.0,2.0,32.0,11.0
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,4-6 Saat,Haberleşme,Hiçbir Zaman,Hayır,Hayır,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,Haber okuma ve bilgi edinme,Hayır,Sadece önemli kişiler için açık,Nadiren,2.0,2.0,3.0,2.0,3.0,2.0,36.0,14.0
Kadın,18-25,Çalışan,Çekirdek Aile,Yüksek,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Evet,Evet,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,İş veya eğitimle ilgili yazışmalar,Hayır,Sadece önemli kişiler için açık,Nadiren,1.0,2.0,3.0,1.0,3.0,2.0,37.0,12.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Sıksık,Evet,Hayır,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,3.0,3.0,3.0,3.0,3.0,3.0,40.0,18.0
